,Dataset,# People,Modelos,NMI,cluster alg,multiview,vgg,resnet,senet
0,yale,15,S vgg16 kmeans,1.0,kmeans,S,True,True,True
1,celeba,50,S vgg16 kmeans,0.791786396397134,kmeans,S,True,True,True
2,celeba,50,S vgg16 kmeans,0.785186033998856,kmeans,S,True,True,True
3,celeba,50,S vgg16 kmeans,0.8467521161864204,kmeans,S,True,True,True
4,celeba,50,S vgg16 kmeans,0.8111792336422191,kmeans,S,True,True,True
5,celeba,50,S vgg16 kmeans,0.8122050271160808,kmeans,S,True,True,True
6,celeba,50,S vgg16 kmeans,0.8035046608585049,kmeans,S,True,True,True
7,celeba,50,S vgg16 kmeans,0.797264280335552,kmeans,S,True,True,True
8,celeba,50,S vgg16 kmeans,0.7944267666641328,kmeans,S,True,True,True
9,celeba,50,S vgg16 kmeans,0.7999526539326797,kmeans,S,True,True,True
10,celeba,50,S vgg16 kmeans,0.8033397381197419,kmeans,S,True,True,True
11,celeba,50,S vgg16 kmeans,0.7718740357280048,kmeans,S,True,True,True
12,celeba,50,S vgg16 kmeans,0.8187146535610994,kmeans,S,True,True,True
13,celeba,50,S vgg16 kmeans,0.7994133573839522,kmeans,S,True,True,True
14,celeba,50,S vgg16 kmeans,0.7854961026026888,kmeans,S,True,True,True
15,celeba,50,S vgg16 kmeans,0.8300342865119121,kmeans,S,True,True,True
16,celeba,50,S vgg16 kmeans,0.8263372744348708,kmeans,S,True,True,True
17,celeba,50,S vgg16 kmeans,0.8393065134701718,kmeans,S,True,True,True
18,celeba,50,S vgg16 kmeans,0.8016997864653966,kmeans,S,True,True,True
19,celeba,50,S vgg16 kmeans,0.8158297617965282,kmeans,S,True,True,True
20,celeba,50,S vgg16 kmeans,0.7902796761082955,kmeans,S,True,True,True
21,celeba,50,S vgg16 kmeans,0.812231348090092,kmeans,S,True,True,True
22,celeba,50,S vgg16 kmeans,0.8206554188146002,kmeans,S,True,True,True
23,celeba,50,S vgg16 kmeans,0.8316924666339032,kmeans,S,True,True,True
24,celeba,50,S vgg16 kmeans,0.7905326513725952,kmeans,S,True,True,True
25,celeba,50,S vgg16 kmeans,0.8128295609328222,kmeans,S,True,True,True
26,celeba,50,S vgg16 kmeans,0.8004854516279828,kmeans,S,True,True,True
27,celeba,50,S vgg16 kmeans,0.813947170715465,kmeans,S,True,True,True
28,celeba,50,S vgg16 kmeans,0.8181880969464465,kmeans,S,True,True,True
29,celeba,50,S vgg16 kmeans,0.7967669059872419,kmeans,S,True,True,True
30,celeba,50,S vgg16 kmeans,0.8358975558653245,kmeans,S,True,True,True
31,celeba,50,S vgg16 kmeans,0.7999416701868617,kmeans,S,True,True,True
32,celeba,50,S vgg16 kmeans,0.808091936782007,kmeans,S,True,True,True
33,celeba,50,S vgg16 kmeans,0.813583385199706,kmeans,S,True,True,True
34,celeba,50,S vgg16 kmeans,0.8169376366010208,kmeans,S,True,True,True
35,celeba,50,S vgg16 kmeans,0.7968962169079223,kmeans,S,True,True,True
36,celeba,50,S vgg16 kmeans,0.8322539840747851,kmeans,S,True,True,True
37,celeba,50,S vgg16 kmeans,0.8068742091061457,kmeans,S,True,True,True
38,celeba,50,S vgg16 kmeans,0.8124626196435832,kmeans,S,True,True,True
